TICKER,2009,2010,2011,2012,2013
ALK,2.473606054,5.015580058,4.81165796,5.922038981,8.957066032
AMZN,8.152935328,7.065317387,2.863301191,-0.134871094,0.753637539
ANCB,#N/A N/A,0.070159965,-1.706385597,-0.356759573,-0.055254964
AVA,2.406038598,2.449300085,2.458089433,1.834255621,2.560822916
BANR,-0.768573749,-1.356133774,0.125978341,1.522537697,1.075952219
BBSI,-2.289106291,4.056827586,6.967718702,5.810716925,6.599985614
BCOR,2.413960078,1.386798156,5.774885373,4.595117254,3.121427882
BREW,0.613013596,1.124558531,6.085618619,1.556511344,1.166244977
BSQR,-9.243654035,17.03262537,-1.090849119,2.068116907,#N/A N/A
CACB,-5.160349494,-0.702311843,-3.130956307,0.456913923,3.755674692
CDE,-0.904891146,-2.939936847,2.911848829,1.501023306,-21.30416337
CLIR,#N/A N/A,-503.1441181,-342.7574615,#N/A N/A,#N/A N/A
CLW,22.37821244,5.921055007,2.545935481,4.002216693,6.331918511
CNQR,3.914463253,2.350961264,-0.97723692,-0.589451543,-1.655959118
COLB,-0.126008077,0.825607898,1.062494222,0.952159863,0.994637268
COLM,5.677053973,6.144190726,7.73011277,7.028898593,6.157164628
COST,5.091259657,5.690701839,5.781398292,6.341255264,7.101683994
CRAY,-0.224735406,6.220265627,5.270659724,40.64491003,5.786761009
CSCD,-9.030696693,-12.49509029,-6.923255911,7.245877489,13.23861674
CUI,#N/A N/A,#N/A N/A,-0.143730581,-7.354437324,#N/A N/A
DMRC,-5.357350957,7.857089075,11.13846275,16.04282223,-0.885373009
DNDN,-49.88811707,-65.62498133,-42.08256408,-45.69925868,-51.37150374
EAC,6.939678006,-4.312331774,7.252967227,6.207028655,1.962549587
ECOL,11.12673084,7.380407084,8.748931387,12.18138919,12.38363024
EMAN,35.39279313,-4.884109555,14.06121698,5.813788385,#N/A N/A
EPAX,16.11668487,6.324541888,2.436370829,1.645321824,-7.599299881
ESC,-2.574589625,-2.421864171,-2.651453139,-2.271265271,-3.296692373
ESIO,-12.15680251,-3.07808878,1.901304241,1.122997285,-14.48628441
ESL,5.655719111,5.790307396,4.459697462,3.407207378,5.077151692
EXPD,10.85834278,13.75889709,13.90835134,11.45379656,11.67799225
