TICKER,2009,2010,2011,2012,2013
ALK,-2.723305505,16.55619398,10.12932597,13.83806852,27.84050495
AMZN,18.88001541,11.44867862,13.82489961,-5.839612913,2.552004725
ANCB,2.639724022,7.521063155,2.793303623,12.2452408,7.058306383
AVA,4.514803711,5.031452096,4.75906844,4.189506636,5.247046725
BANR,7.437947637,-1.607062504,4.776625853,11.44577378,7.116928858
BBSI,-7.968736904,6.124398517,2.800786677,11.54181727,11.25670795
BCOR,825.8251819,-23.61381972,97.91561962,9.275135874,4.961115422
BREW,11.7793921,1.859931992,2.830434354,2.389421799,1.85491535
BSQR,-15.96039604,174.1085578,4.517918089,-6.081018148,#N/A N/A
CACB,1.963557062,-0.148433692,-3.157781542,9.762667289,22.06887304
CDE,-23.65060781,15.19263456,6.954201014,9.962297993,3.698017699
CLIR,#N/A N/A,#N/A N/A,-323.1224053,#N/A N/A,#N/A N/A
CLW,28.52130293,19.99861118,-8.572499269,7.305186905,13.05089849
CNQR,14.01536372,4.676881276,-1.810812291,-2.293411382,-0.502715358
COLB,9.466929367,9.350631895,6.220478831,9.613606341,1.583155655
COLM,6.66184842,4.559643862,15.30384742,8.452241719,5.897724423
COST,9.855741359,10.35489285,11.08659889,12.60462139,18.05067187
CRAY,-0.682150665,10.57439394,4.484541453,9.383090738,5.227507623
CSCD,-10.04730699,-15.2507379,-7.08506821,7.022321926,15.83615831
CUI,#N/A N/A,6.933338859,2.487420719,-5.113134779,#N/A N/A
DMRC,-5.546625517,11.9035232,19.59632764,16.66644601,-1.208601475
DNDN,-10.04690988,-52.51190618,-27.42952942,-47.64045817,-52.33328182
EAC,10.6291504,3.654381734,12.02209909,12.09327526,6.132723367
ECOL,13.68551295,8.900371366,20.82059991,17.52647286,11.36982255
EMAN,44.93240419,100.4743833,-60.38140518,-69.96309963,#N/A N/A
EPAX,22.415488,9.578289462,1.33491049,2.399925437,0.767307527
ESC,2.911291213,2.60991575,2.782949372,2.50120616,3.756139837
ESIO,-4.725970474,-7.7728222,2.966279653,0.455243403,-14.71101949
ESL,9.092038455,6.81838613,9.827653254,4.830659595,8.00952416
EXPD,12.0085107,18.60606578,18.34415929,18.67133132,14.56287888
EXPE,12.19580561,9.405401731,11.40242218,19.72737323,10.60220245
FEIC,3.844617752,9.522746454,13.92023193,13.77568758,11.54445817
FFIV,17.49395977,14.51392057,21.17104885,20.36706677,16.86514428
FFNW,5.773957983,3.8275912,-5.564999379,4.586006906,9.009863555
FLIR,17.33587059,15.64902905,11.67203045,12.34118432,10.60103287
FSBW,-6.210383194,9.415097826,19.4516645,9.036369914,8.649538155
GBX,4.614408801,5.087440202,4.501126985,8.00151944,1.930476984
HFWA,8.752969595,10.10463508,6.647213688,7.496346598,4.09902379
HL,8.686609978,27.5818819,11.35433926,2.46653363,4.962986021
HMST,2.980043135,-1.242060692,9.908947593,17.55663118,3.097464417
HOME,5.174805603,-0.049250395,1.964070602,-2.780823936,-6.037459051
IDA,6.871082051,0.316496659,9.157192862,6.189984128,6.750924248
IMCB,2.739379636,-1.199642074,5.22136854,7.77618482,10.4101328
ITRI,0.45192836,9.18753008,11.97155957,5.613945963,4.060321509
JCTCF,8.361333157,10.29812886,10.55706319,12.7944553,14.7326345
JWN,12.52790911,11.54748024,14.99799656,14.42507222,22.93027866
KTCC,3.785252734,10.5589946,10.79484171,13.17971126,18.03554859
KTEC,-4.546359467,7.711536018,7.592274174,-3.082534892,12.03624464
LAD,3.191728252,4.438888559,2.452153304,8.329662048,9.928272139
LSCC,-1.997459923,17.09441675,21.14397972,-5.55242673,6.569607009
MCHX,-8.487601021,33.72900986,-51.43868472,24.34937928,-0.137838317
MENT,-2.449630314,1.264996237,6.423482268,7.48726852,12.50103196
MSFT,35.65505332,36.14747993,33.46550446,29.15871897,21.93396473
MU,-10.19794797,13.03915063,3.805926274,-5.043821963,-2.98511632
MWIV,11.98033679,13.56580245,14.40949697,13.01483917,14.2271268
NILE,41.41715651,28.03324519,31.13240678,53.75510343,25.91101187
NKE,10.86775588,18.76118947,20.28034171,26.75682499,20.58600987
NLS,1.980827287,-28.02626859,7.461671359,26.99773862,26.68586865
NWN,-36.96784884,36.90125894,5.912362091,5.144903226,5.826061577
NWPX,-1.090798746,1.029292568,5.80618886,9.102425824,5.576051931
OGXI,-19.97571342,-14.78305904,-57.66961652,-38.63915912,-84.4194327
OMER,-37.13217538,-97.98535395,-197.3078031,-271.7727675,-2389.593188
ONVI,-3.629484433,122.7858882,532.1854828,-0.495763091,11.96268657
OUTR,-5.237369489,16.40361632,27.75405472,17.20012135,13.59924278
PCAR,4.034602593,-8.901969316,20.20802079,4.831046901,7.639647985
PCBK,7.905393635,6.728299746,6.845310439,4.759092078,3.19489324
PCH,18.35017613,12.8946094,8.178324902,19.04194764,15.51303837
PCL,7.273994887,7.315894494,6.637490883,6.861589248,5.482416592
PCP,23.34585386,10.42014005,13.61416873,11.02114785,10.07793983
POPE,-0.399862339,0.745945426,4.037151595,-2.974866525,3.602797067
POR,6.00831455,6.286356226,6.159620967,3.196826676,1.776692641
RENT,14.56412778,-0.562153451,-4.611318855,-10.65591211,-45.75584972
RLH,4.762437779,0.493866787,0.853643606,-2.266690363,#N/A N/A
RNWK,-16.44194439,4.699460051,0.906146726,-6.046248663,-18.73399763
RSYS,-16.25985494,1.465005018,-5.208226379,-7.931370718,-22.45291919
SBUX,16.89782357,20.73184948,25.11066688,23.42052273,37.41951461
SCHN,-4.424627092,7.603166465,8.059635607,2.613988782,6.036707378
SFBC,6.080685097,10.74498224,15.86992321,10.93421181,6.451338083
SFG,11.82973949,7.336978125,3.589206346,7.133241791,9.182872096
SGEN,-41.15276431,-42.22315779,-65.97791171,-25.31704901,-27.30890371
SMIT,-17.14192113,-17.21335051,-1.942451021,0.44630975,-5.514681216
STSA,-4.723085737,-11.37987611,37.30617397,-20.21379752,3.125672397
SYA,13.03811304,10.56329786,7.090770136,3.660497339,5.299479806
TBI,8.745282323,6.148262391,6.345443068,13.06941681,10.26265457
TMUS,7.400053058,7.185709302,8.135326463,8.275811816,-0.798134923
TQNT,1.458299057,21.57581078,4.608337132,-3.509992085,-4.640268429
TSBK,5.698861415,6.926332409,4.969628932,5.885698827,5.902931055
UMPQ,8.528620942,7.086803397,6.668969632,5.704309659,4.546042091
WAFD,5.140642414,4.871256513,3.945840558,3.765588114,3.725136543
WBCO,7.273381122,-8.914824607,34.01270375,-1.543547929,18.84870972
WVVI,5.455616886,5.007431558,8.303968396,6.117443907,#N/A N/A
WY,2.083487255,4.80907781,4.856687898,7.469060759,11.13477335
Z,-60.62561369,-38.09125857,0.978448614,2.060921069,-2.253680356
ZUMZ,10.32064257,4.220924146,10.08309386,13.11299994,14.27039444
