TICKER,2009,2010,2011,2012,2013
ALK,-145.9,367.4,309.5,235,415
AMZN,2920,2516,2092,395,2031
ANCB,-34.659,11.897,8.435,1.92,-0.79
AVA,50.277,23.781,26.093,40.579,-60.556
BANR,66.244,112.352,97.726,75.802,86.765
BBSI,2.144,16.34,30.108,41.945,66.099
BCOR,27.565,42.978,16.428,45.079,90.309
BREW,6.621,6.129,-1.76,3.967,-1.437
BSQR,4.459,5.052,0.312,2.087,#N/A N/A
CACB,47.808,64.007,9.925,5.865,8.516
CDE,-158.088,9.569,296.185,126.696,12.654
CLIR,-0.312945,-0.129966,-1.819855,#N/A N/A,#N/A N/A
CLW,205.436,139.505,-65.674,-5.083,45.764
CNQR,48.721,61.657,49.031,62.86,27.842
COLB,30.976,87.633,71.336,117.762,66.503
COLM,181.298,-5.321,-14.608,98.177,204.832
COST,842,1725,1908,1577,1354
CRAY,59.103,-52.9,-8.739,146.049,-100.486
CSCD,-1.910000011,-2.309,-6.247,8.821,#N/A N/A
CUI,#N/A N/A,0.142699,0.459876,-2.488928,#N/A N/A
DMRC,0.319,9.651,9.575,15.031,1.829
DNDN,-151.435,-408.159,-267.718,-227.47,-223.003
EAC,7.359,-23.03,-32.136,5.422,-307.764
ECOL,27.382,0.739,33.095,19.408,28.266
EMAN,4.542000234,5.946,0.684,2.344,#N/A N/A
EPAX,10.981,17.178,-9.756,-2.92,11.644
ESC,33.555,60.108,40.762,79.346,29.747
ESIO,12.413,-0.34,44.034,9.376,10.894
ESL,97.485,134.261,142.922,144.725,195.437
EXPD,296.1,353.11,379.016,322.5,354.125
EXPE,583.987,469.011,617.892,1001.485,454.619
FEIC,54.621,66.112,88.943,62.843,175.534
FFIV,190.312,300.987,386.493,465.57,473.11
FFNW,6.008,24.056,20.372,12.995,#N/A N/A
FLIR,229.886,189.278,201.945,227.456,302.904
FSBW,0.958,3.776,3.328,#N/A N/A,4.029
GBX,81.618,3.572,-118.554,-1.829,43.765
HFWA,7.889,12.796,14.615,24.023,25.692
HL,91.461,130.395,-17.655,-44.08,-124.092
HMST,-27.232,-43.302,87.962,-414.152,#N/A N/A
HOME,4.531,-8.322,7.448,10.962,#N/A N/A
IDA,32.488,#N/A N/A,-27.522,9.481,70.239
IMCB,-1.652,21.117,12.296,23.155,19.218
ITRI,87.881,191.769,192.282,154.547,45.401
JCTCF,3.3860531,2.424318,1.518508,3.62387,0.596245
JWN,285,891,778,666,597
KTCC,8.147,0.319,-6.387,-9.72,26.331
KTEC,-14.879,10.761,0.224,-3.862,6.301
LAD,4.8,-28.919,-32.439,-277.06,-17.966
LSCC,91.912,65.455,49.175,-9.317,44.004
MCHX,14.764197,5.946508,12.811,17.022,10.555
MENT,-17.73,-8.508,35.033,62.383,94.157
MSFT,15918,22096,24639,29321,24576
MU,718,2480,-66,415,567
MWIV,9.277,12.478,19.912,6.641,46.669
NILE,36.673,39.765,10.063,31.919,17.91
NKE,1280.4,2829.1,1380,1302,2391
NLS,12.782,-10.881,2.092,10.371,17.496
NWN,105.211,-122.036,132.928,36.809,37.466
NWPX,56.495,-39.941,-4.058,27.701,#N/A N/A
OGXI,34.863,-26.908,-20.342,-43.784,-36.18
OMER,-19.306,-15.309,-26.909,-35.193,-29.899
ONVI,3.839701131,0.078029,1.779998,2.115259,2.175
OUTR,-24.577,135.248,236.958,255.852,166.422
PCAR,402.3,667.6,-54.7,-284.4,502.9
PCBK,18.541,26.235,27.514,30.284,26.391
PCH,104.217,111.072,60.539,50.793,66.599
PCL,478,378,304,205,177
PCP,898.6,740.3,917.6,846.2,1137.9
POPE,-0.562,8.009,16.539,13.904,15.719
POR,-310,-36,149,188,-113
RENT,5.061,0.249,1.797,5.066,-8.756
RLH,-0.733,8.872,-44.481,5.028,#N/A N/A
RNWK,-26.111,-44.026,-10.581,-40.483,-57.606
RSYS,20.635,12.028,6.637,-5.481,-8.138
SBUX,943.4,1277.7,1080.5,894.1,1757.1
SCHN,228.535,25.166,35.499,166.23,-51.092
SFBC,-2.293271,6.53067,7.045,9.944,#N/A N/A
SFG,418.9,339.1,236.4,362.4,265.8
SGEN,-66.372,-446.791,-135.283,0.396,-23.264
SMIT,-1.354135,-0.47135,-0.787049,-0.113647,-0.854947
STSA,207.265,136.283,68.191,#N/A N/A,393.424
SYA,797.2,925.7,987.5,1011.2,1019.6
TBI,20.452,34.923,20.882,34.497,73.065
TMUS,34.56,204.115,110.224,335.601,-480
TQNT,36.702,19.147,-91.817,5.785,-40.32
TSBK,9.126,5.56,2.926,10.452,10.27
UMPQ,81.987,151.09,148.378,3.668,379.102
WAFD,178.969,237.854,251.158,144.007,152.176
WBCO,10.11,-16.499,49.568,69.208,62.78
WVVI,-1.940469,2.319317,-0.654247,0.698535,#N/A N/A
WY,-385,459,50,296,711
Z,-7.839,-2.638,7.14,19.621,9.251
ZUMZ,9.988,28.568,19.331,42.557,25.155
