TICKER,2009,2010,2011,2012,2013
ALK,1230.02496,2036.53156,2663.800855,3032.525238,5043.890572
AMZN,59726.88,81180,78760.5,113894.98,183044.61
ANCB,#N/A N/A,#N/A N/A,22.5476636,25.41192522,41.32854141
AVA,1183.926102,1286.336162,1504.386611,1442.086512,1693.563639
BANR,57.08188012,261.9583549,300.4531138,596.7958063,874.4126078
BBSI,128.62714,158.6411,197.02516,267.27753,664.4821
BCOR,303.3019155,299.5357618,448.7479991,641.47072,1227.14028
BREW,40.9777512,139.0728017,113.4457983,122.3051789,311.5242957
BSQR,25.206635,91.13598375,37.189251,32.4473657,#N/A N/A
CACB,19.1584288,24.1135115,206.8968555,295.7018985,247.5165804
CDE,1450.3986,2440.11312,2164.274693,2222.421515,1115.846583
CLIR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CLW,624.7961111,898.7985747,810.7830801,900.1792611,1106.906903
CNQR,1947.76288,2589.61776,2012.83995,4059.42634,6192.862
COLB,455.12722,828.45828,761.28062,711.96684,1409.27485
COLM,1317.05344,2031.0849,1565.8489,1818.242,2724.35625
COST,22570.37398,24358.9269,33529.67786,42314.0945,48869.17893
CRAY,225.8646329,258.6081408,237.8590621,628.9916793,1111.302191
CSCD,61.64221832,63.075,48.30265,79.5144,150.5684212
CUI,#N/A N/A,53.51195512,41.69314103,59.7492072,#N/A N/A
DMRC,108.013458,223.3779345,167.4218606,148.3850313,142.5446467
DNDN,3445.983133,5071.569464,1133.68652,816.8543502,470.2511198
EAC,#N/A N/A,#N/A N/A,#N/A N/A,81.99679755,286.6507321
ECOL,311.93424,316.17696,342.30306,431.11156,798.397938
EMAN,31.89841721,127.26267,87.0017186,84.51811137,#N/A N/A
EPAX,252.0230739,209.9389055,79.32227688,72.6222222,78.97095
ESC,736.3985625,871.0601528,787.7724661,1132.546503,1040.805815
ESIO,170.71552,361.8582,443.72832,434.8397,326.89215
ESL,1253.767559,1830.093524,1745.884939,1742.268372,2540.509479
EXPD,7372.126426,11577.80846,8683.669996,8162.804114,8962.979985
EXPE,3502.999186,6873.30514,3876.52062,8314.6752,9033.92676
FEIC,884.38624,1010.9748,1544.17548,2134.389282,3765.27296
FFIV,3104.01975,8341.65255,5623.25225,8236.7376,6700.74672
FFNW,123.2910954,75.220672,110.9504912,141.9790184,169.9864814
FLIR,5001.99498,4736.557,3885.07283,3253.940022,4237.5382
FSBW,#N/A N/A,#N/A N/A,#N/A N/A,38.99866292,55.56814375
GBX,219.99978,255.28125,437.73268,392.21635,633.85588
HFWA,152.3788542,216.7131163,194.1310903,222.0831262,277.2037737
HL,1472.906388,2906.765723,1492.066303,1662.773414,1055.403213
HMST,#N/A N/A,#N/A N/A,#N/A N/A,367.4764009,295.99982
HOME,190.6930786,203.0876174,125.5691339,179.6557496,221.0080793
IDA,1530.299277,1827.002447,2118.464108,2174.291601,2604.065501
IMCB,20.0780064,12.41849796,7.989348,29.9360065,41.7566205
ITRI,2712.457375,2241.89895,1431.94464,1750.874652,1621.94307
JCTCF,13.96330513,15.83676845,17.42421241,15.86786652,40.75454419
