TICKER,2009,2010,2011,2012,2013
ALK,13.11552056,7.925402516,9.621881458,9.128452087,13.59226502
AMZN,63.60283688,71.14624506,126.350365,#N/A N/A,697.1853147
ANCB,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
AVA,13.61437335,13.03365948,15.0285104,16.43244805,14.83684211
BANR,#N/A N/A,#N/A N/A,#N/A N/A,9.724683544,19.48695652
BBSI,#N/A N/A,23.84168508,46.6516459,22.3005973,38.32231405
BCOR,36.99882139,#N/A N/A,12.92941176,27.56140351,36
BREW,42.95378888,66.67809548,36.12404589,49.84615385,153.9528953
BSQR,#N/A N/A,15.625,#N/A N/A,36.6546875,#N/A N/A
CACB,#N/A N/A,#N/A N/A,#N/A N/A,48.15384615,4.798165138
CDE,#N/A N/A,389.062945,16.56714257,41.69491525,#N/A N/A
CLIR,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CLW,8.190864884,30.12982375,18.73780543,13.9937807,31.70718745
CNQR,79.52,113.1145628,270.22319,#N/A N/A,#N/A N/A
COLB,#N/A N/A,39.02276328,15.89628397,15.3235891,17.73548387
COLM,19.7922724,26.64006489,14.16681909,18.87384413,28.99384189
COST,20.07343846,19.09068671,23.30373358,24.8245956,24.91536748
CRAY,63.72461438,16.05524617,14.97238093,8.251644638,33.29667385
CSCD,#N/A N/A,#N/A N/A,#N/A N/A,13.33333333,10.47191011
CUI,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
DMRC,#N/A N/A,54.56363636,58.25877235,18.48214286,#N/A N/A
DNDN,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
EAC,#N/A N/A,#N/A N/A,#N/A N/A,4.534415569,13.5645638
ECOL,22.57165906,21.7067121,18.59405941,16.43317687,21.29992583
EMAN,11.05882341,#N/A N/A,52.85714286,59.5,#N/A N/A
EPAX,12.62857143,22.11538462,18.04,26.625,930
ESC,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
ESIO,#N/A N/A,#N/A N/A,49.5648848,44.74279599,#N/A N/A
ESL,11.96567208,14.06283229,12.71416842,13.52538874,15.46859406
EXPD,31.32432432,34.27488837,22.88268156,25.1910828,26.33928571
EXPE,20.47518667,22.76092052,11.90450308,22.75555556,33.33014354
FEIC,43.37782532,21.91493917,14.80318265,18.9485036,28.82268244
FFIV,33.34929409,55.46232585,24.00337838,30.27680535,24.37966221
FFNW,#N/A N/A,#N/A N/A,24.58333333,50.33333333,6.913333333
FLIR,22.73008218,18.72172469,16.2661656,14.8598892,22.04751863
FSBW,#N/A N/A,#N/A N/A,#N/A N/A,7.369318182,13.29457364
GBX,#N/A N/A,#N/A N/A,41.38095238,8.304597701,11.81675393
HFWA,#N/A N/A,39.56579946,29.9047619,16.88505747,28.98305085
HL,33.43685412,62.34634892,12.02608488,44.4072057,#N/A N/A
HMST,#N/A N/A,#N/A N/A,#N/A N/A,4.244186047,11.04972376
HOME,#N/A N/A,#N/A N/A,#N/A N/A,103.5833333,124.1666667
IDA,12.12674671,#N/A N/A,19.17399462,12.52890173,14.24175824
IMCB,#N/A N/A,#N/A N/A,#N/A N/A,35.9375,10.16129032
ITRI,246.2472531,21.74984036,12.08326338,15.95173303,#N/A N/A
JCTCF,8.848484497,8.253012048,12.33783784,8.161290323,13.97862366
JWN,7.06030805,17.66408575,14.87636364,15.36392405,15.48314607
KTCC,6.6645394,6.651564344,9.949066064,7.456021688,9.43754941
