TICKER,2009,2010,2011,2012,2013
ALK,121.6,251.1,245,316,508
AMZN,902,1152,631,-39,274
ANCB,-20.253,0.42,-8.82,-1.712,-0.255
AVA,87.071,92.425,100.224,78.21,111.077
BANR,-35.764,-61.896,5.457,64.882,46.555
BBSI,-3.945,7.353,14.318,13.131,17.892
BCOR,7.403,4.68,21.594,22.526,24.399
BREW,0.887,1.686,9.651,2.526,1.959
BSQR,-2.682,6.163,-0.463,0.916,-5.257
CACB,-114.829,-13.655,-47.276,5.951,50.845
CDE,-27.066,-91.308,93.499,48.677,-650.563
CLIR,-0.528772,-0.395587,-2.976295,-4.189,-5.285
CLW,182.464,73.8,39.674,64.131,106.955
CNQR,25.677,20.144,-10.743,-7.006,-24.394
COLB,-3.968,30.784,48.037,46.143,60.016
COLM,67.021,77.037,103.479,99.859,94.341
COST,1086,1303,1462,1709,2039
CRAY,-0.604,15.062,14.329,161.241,32.223
CSCD,-7.649000168,-10.339,-5.802,6.099,13.418
CUI,#N/A N/A,-7.015896,-0.048763,-2.526321,-1.759
DMRC,-2.757,4.174,5.656,8.272,-0.507
DNDN,-220.161,-439.48,-337.806,-393.61,-296.804
EAC,12.052,-8.251,15.87,15.23,9.657
ECOL,13.97,12.584,18.37,25.659,32.151
EMAN,4.262000084,-1.14,4.966,2.252,-14.067
EPAX,20.337,8.116,2.956,1.744,-7.077
ESC,-53.875,-56.959,-71.909,-84.844,-152.561
ESIO,-51.05,-11.984,7.934,4.904,-54.716
ESL,119.798,141.92,133.04,112.535,164.734
EXPD,240.217,344.172,385.679,333.36,348.526
EXPE,299.526,421.5,472.294,280.171,232.85
FEIC,22.644,53.548,103.637,114.92,126.673
FFIV,91.535,151.153,241.397,275.186,277.314
FFNW,-40.708,-54.136,4.242,2.713,24.465
FLIR,230.213,248.126,221.474,222.398,177.015
FSBW,-4.574,1.602,1.545,5.295,3.92
GBX,-56.391,4.277,6.466,58.708,-11.048
HFWA,0.581,13.354,6.518,13.261,9.575
HL,67.826,48.983,151.164,14.954,-25.13
HMST,-110.276,-34.247,16.119,82.126,23.809
HOME,8.126,-4.091,-4.629,1.802,-0.255
IDA,124.35,#N/A N/A,166.693,173.014,182.417
IMCB,-21.911,-31.736,0.003,3.779,11.771
ITRI,-2.249,104.77,-510.157,108.275,-146.809
JCTCF,1.582476974,1.982814,0.902394,3.059931,3.132019
JWN,401,441,613,683,735
KTCC,1.063,8.69,5.736,11.626,12.583
KTEC,-0.491,3.638,1.454,0.449,4.011
LAD,9.151,13.719,58.86,80.362,106
LSCC,-6.957,57.072,78.232,-29.606,22.321
MCHX,-2.062004,-3.043297,2.959,-35.196,1.817
MENT,-91.252,-21.889,28.584,83.872,138.736
MSFT,14569,18760,23150,16978,21863
MU,-1882,1850,167,-1032,1190
MWIV,24.905,33.44,42.58,53.477,62.849
NILE,12.8,14.142,11.35,8.392,10.875
NKE,1486.7,1906.7,2133,2223,2485
NLS,-53.297,-22.841,1.42,16.883,47.954
NWN,75.122,72.667,63.898,58.779,60.538
NWPX,-7.277,-5.44,12.66,16.244,-0.923
OGXI,-5.476,-12.584,-14.673,-21.098,-31.849
OMER,-21.089,-29.251,-28.546,-38.444,-39.796
ONVI,-0.547470987,-0.805446,1.553672,1.525429,-0.55
OUTR,53.643,51.008,103.883,150.23,174.792
PCAR,111.9,457.6,1042.3,1111.6,1171.3
PCBK,-4.879,5.092,5.341,12.653,13.767
PCH,77.328,40.394,40.266,42.594,70.581
PCL,236,213,193,203,214
PCP,1044.5,921.8,1013.5,1224.1,1426.6
POPE,-0.272,2.038,8.754,-4.709,13.135
POR,95,125,147,141,105
RENT,5.363,0.576,-0.767,-6.426,-22.617
RLH,-6.663,-8.609,-7.148,-14.674,-17.047
RNWK,-216.764,5.038,-27.1,44.841,-58.99
RSYS,-42.567,-0.369,-1.529,-43.474,-49.404
SBUX,390.8,945.6,1245.7,1383.8,8.3
SCHN,-32.229,66.75,118.355,27.404,-281.442
SFBC,-0.613803,1.331287,1.551,2.64,3.94
SFG,208.9,189,136.7,138.5,228.5
SGEN,-81.683,-66.265,-152.03,-53.782,-62.52
SMIT,-2.153524,-1.711013,-0.205383,0.077421,-0.539882
STSA,-838.094,-224.282,39.133,385.721,93.641
SYA,128.3,200.9,195.8,205.4,220.7
TBI,8.797,19.839,30.791,33.629,44.924
TMUS,176.844,193.415,301.31,394.172,35
TQNT,16.245,190.837,48.15,-26.169,-38.008
TSBK,-0.242,-2.291,1.089,4.59,4.757
UMPQ,-153.366,28.326,74.496,101.891,98.361
WAFD,48.172,118.653,111.141,138.183,151.505
WBCO,6.214,25.57,15.952,16.844,14.496
WVVI,0.73147,0.411808,0.857755,1.202849,1.423
WY,-545,1281,331,385,563
Z,-12.855,-6.774,1.102,5.939,-12.453
ZUMZ,17.204,9.131,24.203,37.351,42.164
