TICKER,2009,2010,2011,2012,2013
ALK,3399.8,3832.3,4318,4657,5156
AMZN,24509,34204,48077,61093,74452
ANCB,43.462,39.31,31.721,29.138,24.651
AVA,1512.565,1558.74,1619.78,1547.002,1618.505
BANR,281.06,247.23,231.553,214.064,220.1
BBSI,236.46,273.123,314.874,402.652,532.844
BCOR,207.646,214.343,228.813,406.919,573.98
BREW,124.713,131.731,149.197,169.287,179.18
BSQR,64.379,96.774,96.843,101.394,92.108
CACB,128.437,98.353,78.067,67.97,65.438
CDE,300.361,515.457,1021.2,895.492,745.994
CLIR,0,0,0,#N/A N/A,0.093
CLW,1250.069,1372.965,1927.973,1874.304,1889.83
CNQR,247.596,292.936,349.488,439.826,545.8
COLB,172.676,228.842,243.108,275.562,323.635
COLM,1244.023,1483.524,1693.985,1669.563,1684.996
COST,71422,77946,88915,99137,105156
CRAY,284.047,319.388,236.046,421.058,525.749
CSCD,53.54100037,92.597,104.61,112.963,120.01
CUI,#N/A N/A,37.575157,38.938326,41.084589,60.652
DMRC,19.071,31.15,36.039,44.375,34.964
DNDN,0.101,48.057,341.613,325.53,283.746
EAC,149.622,118.24,152.769,180.824,318.221
ECOL,132.519,104.836,154.917,169.138,201.126
EMAN,23.8220005,30.458,29.181,30.56,27.99
EPAX,98.615,76.146,66.438,58.052,51.195
ESC,898.732,1007.065,1472.623,1568.076,1960.618
ESIO,157.313,148.893,256.811,254.229,216.625
ESL,1425.438,1526.601,1717.985,1992.318,1969.754
EXPD,4092.283,5967.573,6150.498,5992.215,6080.257
EXPE,2955.426,3033.645,3449.009,4030.347,4771.259
FEIC,577.344,634.222,826.426,891.738,927.454
FFIV,653.079,881.972,1151.834,1377.247,1481.314
FFNW,67.065,61.585,53.585,42.302,39.29
FLIR,1147.087,1388.437,1544.062,1405.358,1496.372
FSBW,19.558,19.994,18.774,24.951,30.648
GBX,1018.125,756.28,1243.29,1807.716,1756.418
HFWA,61.508,68.75,79.768,76.303,80.642
HL,312.548,418.813,477.634,321.143,382.589
HMST,170.601,190.534,174.397,319.164,279.721
HOME,45.118,51.004,68.119,48.494,46.112
IDA,1049.8,#N/A N/A,1026.756,1080.662,1246.214
IMCB,66.384,57.901,52.427,46.574,43.892
ITRI,1687.447,2259.271,2434.124,2178.178,1948.728
JCTCF,42.13009644,41.572336,42.05647,45.94553,49.286147
JWN,8573,8627,9700,10877,12134
KTCC,184.924,199.62,253.846,346.475,361.033
KTEC,105.45,115.804,116.328,115.174,136.783
LAD,1781.367,2071.988,2632.746,3316.487,4005.749
LSCC,194.42,297.768,318.366,279.256,332.525
MCHX,93.261201,97.565607,146.726,132.794,152.55
MENT,789.101,802.727,914.753,1014.638,1088.727
MSFT,58437,62484,69943,73723,77849
MU,4803,8482,8788,8234,9073
MWIV,941.332,1229.342,1565.34,2075.146,2347.485
NILE,302.134,332.889,348.013,400.035,450.008
NKE,19176.1,19014,20862,23331,25313
NLS,189.26,168.45,180.412,193.926,218.803
NWN,1012.711,812.106,828.055,730.607,758.518
NWPX,278.654,386.75,511.668,524.503,475.556
OGXI,25.539,13.616,5.496,20.095,29.882
OMER,1.444,2.105,4.524,6.022,1.6
ONVI,25.63718414,26.991881,23.163395,21.95246,22.02
OUTR,1032.623,1436.421,1845.372,2199.884,2306.601
PCAR,8086.5,10292.9,16355.2,17050.5,17123.8
PCBK,71.28,68.082,65.65,61.635,66.759
PCH,476.169,539.447,497.421,525.134,570.289
PCL,1294,1190,1167,1339,1340
PCP,6801.2,5459.2,6220.1,7201.9,8377.8
POPE,20.478,31.192,57.274,54.043,70.692
POR,1804,1783,1813,1805,1810
RENT,94.966,91.076,97.088,91.071,99.177
RLH,165.719,159.304,155.181,150.707,120.055
RNWK,562.264,401.733,335.686,258.842,206.196
RSYS,304.273,284.311,330.865,286.096,237.863
SBUX,9774.6,10707.4,11700.4,13299.5,14892.2
SCHN,1787.23,2301.24,3459.194,3340.938,2621.911
SFBC,23.125009,23.337899,21.207,23.298,24.538
SFG,2770,2765.1,2874.7,2898.4,2860.1
SGEN,51.965,107.47,94.778,210.812,269.264
SMIT,9.501208,6.805748,11.492859,14.437022,12.452252
STSA,723.161,593.394,530.62,591.748,519.607
SYA,1714.3,1878.5,1999.3,2101.2,2139.5
TBI,1018.418,1149.367,1316.013,1389.53,1668.929
TMUS,3480.515,4069.353,4847.382,5101.278,24420
TQNT,654.301,878.703,896.083,829.174,892.879
TSBK,48.895,44.468,43.094,41.386,40.499
UMPQ,497.248,558.063,585.871,592.914,564.287
WAFD,710.783,706.532,670.568,606.788,538.224
WBCO,62.053,89.555,108.151,107.082,97.704
WVVI,16.563712,17.370803,12.235986,12.527268,13.272
WY,5528,5954,6216,7059,8529
Z,17.491,30.467,66.053,116.85,197.545
ZUMZ,408.669,407.603,478.849,555.874,669.393
