TICKER,2009,2010,2011,2012,2013
ALK,0.181538462,0.640335648,0.324572235,0.147689439,0.702715247
AMZN,1.62324493,0.33809099,-0.038333333,0.449277874,0.589628094
ANCB,,,,1.290322581,0.288028169
AVA,0.114035088,0.043075498,0.143428064,-0.06368932,0.169224388
BANR,-0.715196599,-0.134328358,0.056034483,0.791836735,0.4585096
BBSI,0.127522936,0.265256306,0.283601286,0.908316633,1.434759779
BCOR,0.135099338,-0.031505251,0.324096386,0.429481347,0.856142584
BREW,1,2.079166667,-0.185385656,0.07641196,1.533950617
BSQR,0.058649164,2.5,-0.609142857,-0.142573099,0.220842995
CACB,-0.899259259,0.242647059,-0.481656805,0.429223744,-0.164536741
CDE,1.052272727,0.512735327,-0.116398243,0.01905551,-0.558943089
CLIR,,,,,1.365702479
CLW,5.551847437,0.424413316,-0.090421456,0.099691098,0.340653728
CNQR,0.302559415,0.214736842,-0.021952629,0.32939555,0.52813981
COLB,0.356250273,0.301604856,-0.082510028,-0.038754556,0.532326995
COLM,0.103758821,0.589150556,-0.228026534,0.146294307,0.475824588
COST,0.127047417,0.220383058,0.153855849,0.268778513,0.205509977
CRAY,2.086538462,0.11682243,-0.09762901,1.465224111,0.721630094
CSCD,1.348717949,-0.050218341,-0.216091954,0.642228739,0.664285714
CUI,-0.15,1.941176471,-0.24,-0.036842105,0.151183971
DMRC,0.496007984,1.002001334,-0.203932023,-0.133528673,-0.069565217
DNDN,4.737991266,0.328767123,-0.782359679,-0.303947368,-0.434782609
EAC,,,,,1.466192171
ECOL,-0.157686604,0.019953052,0.080552359,0.253461129,0.576125743
EMAN,2.481622548,2.191499836,-0.383327335,-0.007809677,-0.207282913
EPAX,0.441295741,-0.132731098,-0.607828414,0.045706711,0.091549296
ESC,0.869391825,0.0512,-0.111618468,0.411764706,-0.125
ESIO,0.593519621,0.481516989,-0.096690695,-0.171164867,0.051256281
ESL,0.076009501,0.682364484,-0.183991836,0.136501697,0.602892627
EXPD,0.045085663,0.570319241,-0.24981685,-0.034423828,0.118836915
EXPE,2.122585516,-0.024872656,0.229867271,1.135491069,0.133789063
FEIC,0.238600212,0.130565068,0.544112079,0.36023541,0.610949263
FFIV,1.317147857,1.457239947,-0.184695759,-0.084526951,-0.064745239
FFNW,-0.298715203,-0.389312977,0.475,0.279661017,0.373509934
FLIR,0.066818774,-0.091047968,-0.157310924,-0.10986438,0.348826163
FSBW,,,,,0.32228219
GBX,0.510917031,1.022157996,0.156741305,-0.334019769,1.030921459
HFWA,0.124893517,0.010161502,-0.078424173,0.211657384,0.17145754
HL,1.207182023,0.821991654,-0.53552682,0.115927013,-0.470435515
HMST,,,,,-0.208664254
HOME,0.241605867,-0.078137218,-0.152406835,0.207745897,0.198712792
IDA,0.084889643,0.15743349,0.146836128,0.022164584,0.195847751
IMCB,-0.454545455,-0.383333333,-0.358108108,0.210526316,0.369565217
ITRI,0.060087857,-0.179369543,-0.354914337,0.245457087,-0.07003367
JCTCF,0.361829026,0.321167883,-0.097237569,0.548347613,0.652173913
JWN,1.823441022,0.127727515,0.172958943,0.076242205,0.155140187
KTCC,2.969072165,0.355844156,-0.101532567,1.18336887,0.076171875
KTEC,-0.377660138,0.446920721,-0.232804233,-0.199233716,0.371291866
LAD,1.521472393,0.738442822,0.529741078,0.711802379,0.85515767
LSCC,0.78807947,1.244444444,-0.01980198,-0.328282828,0.37593985
MCHX,-0.12864494,0.877952756,-0.344863732,-0.3424,1.104622871
MENT,0.707930368,0.359003398,0.13,0.255162242,0.414218566
MSFT,0.567901235,-0.084317585,-0.069867431,0.028879045,0.400614758
MU,3,-0.240530303,-0.215710723,0.007949126,2.430599369
MWIV,0.398367953,0.675066313,0.052098179,0.655629139,0.545145455
NILE,1.58595345,-0.099005211,-0.283561164,-0.058708415,0.223752599
